id;species;category;esthetic;foliage;type;height
148;Pinguicula;indoor;foliage;;;shrub
149;Clusia Rosea;indoor;foliage;;;shrub
150;Euphorbia Trigona;indoor;foliage;;;shrub
151;Albuca Spiralis;indoor;foliage;;;shrub
152;Zantedeschia;indoor;flowering;;;shrub
153;Aphelandra;indoor;foliage;;;shrub
154;Cereus;indoor;foliage;;;shrub
155;Ludisia Discolor;indoor;foliage;;;shrub
156;Astrophytum;indoor;foliage;;;shrub
157;Peperomia Caperata;indoor;foliage;;;shrub
158;Jacinthe;indoor;flowering;;;shrub
159;Agave;indoor;foliage;;;shrub
160;Gasteria;indoor;foliage;;;shrub
161;Blechnum;indoor;foliage;;;shrub
162;Pilea Glauca;indoor;foliage;;;hanging
163;Eucalyptus;indoor;foliage;;;shrub
164;Chrysanthème;outdoor;flowering;deciduous;;shrub
165;Coriandre;herb;;;herb;
166;Ananas;indoor;foliage;;;shrub
167;Ixora;indoor;flowering;;;shrub
168;Euphorbia Milii;indoor;flowering;;;shrub
169;Opuntia Microdasys;indoor;foliage;;;shrub
170;Ledebouria;indoor;foliage;;;shrub
171;Dischidia;indoor;foliage;;;hanging
172;Hatiora;indoor;flowering;;;hanging
173;Selaginella;indoor;foliage;;;shrub
174;Cyrtomium;indoor;foliage;;;shrub
175;Pellaea;indoor;foliage;;;shrub
176;Tolmiea;indoor;foliage;;;shrub
177;Sempervivum;outdoor;foliage;evergreen;;ground
178;Portulacaria Afra;indoor;foliage;;;shrub
179;Senecio Cephalophorus;indoor;foliage;;;shrub
180;Plumeria;indoor;flowering;;;shrub
181;Gerbera;indoor;flowering;;;shrub
182;Lys;indoor;flowering;;;shrub
183;Lantana;outdoor;flowering;deciduous;;shrub
184;Philodendron Xanadu;indoor;foliage;;;shrub
185;Epipremnum Neon;indoor;foliage;;;hanging
186;Tephrocactus;indoor;foliage;;;shrub
187;Ctenanthe;indoor;foliage;;;shrub
188;Stevia;herb;;;herb;
189;Callistemon;outdoor;flowering;evergreen;;shrub
190;Ferocactus;indoor;foliage;;;shrub
191;Solanum;indoor;foliage;;;shrub
192;Rebutia;indoor;flowering;;;shrub
193;Jasmine Sambac;indoor;flowering;;;shrub
194;Kalanchoe Tomentosa;indoor;foliage;;;shrub
195;Cactus;indoor;foliage;;;shrub
196;Succulente;indoor;foliage;;;shrub
197;Pommier;vegetable;;;fruitTree;
198;Poirier;vegetable;;;fruitTree;
199;Cerisier;vegetable;;;fruitTree;
200;Prunier;vegetable;;;fruitTree;
201;Pêcher;vegetable;;;fruitTree;
202;Abricotier;vegetable;;;fruitTree;
203;Noyer;vegetable;;;fruitTree;
204;Noisetier;vegetable;;;fruitTree;
205;Erable du Japon;outdoor;foliage;deciduous;;shrub
206;Bouleau;outdoor;foliage;deciduous;;tree
207;Chêne;outdoor;foliage;deciduous;;tree
208;Saule Pleureur;outdoor;foliage;deciduous;;tree
209;Tilleul;outdoor;foliage;deciduous;;tree
210;Albizia;outdoor;flowering;deciduous;;tree
211;Magnolia;outdoor;flowering;deciduous;;tree
212;Lilas;outdoor;flowering;deciduous;;shrub
213;Mimosa d'hiver;outdoor;flowering;evergreen;;tree
214;Ginkgo Biloba;outdoor;foliage;deciduous;;tree
215;Lilas des Indes;outdoor;flowering;deciduous;;shrub
216;Thuya;outdoor;foliage;evergreen;;tree
217;Cyprès de Leyland;outdoor;foliage;evergreen;;tree
218;Sapin de Noël;outdoor;foliage;evergreen;;tree
219;Pin Parasol;outdoor;foliage;evergreen;;tree
220;Photinia;outdoor;foliage;evergreen;;shrub
221;Laurier Palme;outdoor;foliage;evergreen;;shrub
222;Forsythia;outdoor;flowering;deciduous;;shrub
223;Houx;outdoor;foliage;evergreen;;shrub
224;Buis;outdoor;foliage;evergreen;;shrub
225;Sureau;outdoor;foliage;deciduous;;shrub
226;Glycine;outdoor;flowering;deciduous;;climber
227;Vigne;vegetable;;;fruit;
228;Cyprès de Provence;outdoor;foliage;evergreen;;tree
229;Cèdre;outdoor;foliage;evergreen;;tree
230;If;outdoor;foliage;evergreen;;tree
231;Charme;outdoor;foliage;deciduous;;tree
232;Marronnier;outdoor;flowering;deciduous;;tree
233;Platane;outdoor;foliage;deciduous;;tree
234;Hêtre;outdoor;foliage;deciduous;;tree
235;Peuplier;outdoor;foliage;deciduous;;tree
236;Eucalyptus (Extérieur);outdoor;foliage;evergreen;;tree
237;Catalpa;outdoor;foliage;deciduous;;tree
238;Paulownia;outdoor;flowering;deciduous;;tree
239;Liquidambar;outdoor;foliage;deciduous;;tree
240;Tamaris;outdoor;flowering;deciduous;;shrub
241;Arbousier;vegetable;;;fruitTree;
242;Viorne;outdoor;flowering;deciduous;;shrub
243;Cognassier;vegetable;;;fruitTree;
244;Rosier Grimpant;outdoor;flowering;deciduous;;climber
245;Buddleia;outdoor;flowering;deciduous;;shrub
246;Seringat;outdoor;flowering;deciduous;;shrub
247;Weigela;outdoor;flowering;deciduous;;shrub
248;Althea;outdoor;flowering;deciduous;;shrub
249;Spirée;outdoor;flowering;deciduous;;shrub
250;Hortensia Paniculé;outdoor;flowering;deciduous;;shrub
251;Deutzia;outdoor;flowering;deciduous;;shrub
252;Pyracantha;outdoor;foliage;evergreen;;shrub
253;Eleagnus;outdoor;foliage;evergreen;;shrub
254;Aucuba;outdoor;foliage;evergreen;;shrub
255;Fusain du Japon;outdoor;foliage;evergreen;;shrub
256;Mahonia;outdoor;flowering;evergreen;;shrub
257;Cotoneaster;outdoor;foliage;evergreen;;shrub
258;Pittosporum;outdoor;foliage;evergreen;;shrub
259;Chèvrefeuille;outdoor;flowering;deciduous;;climber
260;Jasmin Étoilé;outdoor;flowering;evergreen;;climber
261;Bignone;outdoor;flowering;deciduous;;climber
262;Vigne Vierge;outdoor;foliage;deciduous;;climber
263;Pivoine;outdoor;flowering;deciduous;;shrub
264;Rose Trémière;outdoor;flowering;deciduous;;shrub
265;Lupin;outdoor;flowering;deciduous;;shrub
266;Agapanthe;outdoor;flowering;deciduous;;shrub
267;Hosta;outdoor;foliage;deciduous;;ground
268;Heuchère;outdoor;foliage;evergreen;;ground
